GENESIS-Tabelle: 63111-0001
Ausstattung privater Haushalte (Laufende;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wirtschaftsrechnungen): Deutschland, Stichtag,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebrauchsgüter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laufende Wirtschaftsrechnungen: Allgemeine Angaben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Erfasste Haushalte;Hochgerechnete Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte;Ausstattungsgrad je 100 Haushalte
;;;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter;Gebrauchsgüter
;;;Personenkraftwagen;Personenkraftwagen fabrikneu gekauft;Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid;Personenkraftwagen gebraucht gekauft;Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid;Personenkraftwagen geleast;Pkw geleast, Elektroauto, Plug-in-Hybrid;Krafträder;Kraftrad mit Führerscheinpflicht;E-Roller, E-Bike mit Führerscheinpflicht;Fahrrad;Pedelec (E-Bike ohne Führerscheinpflicht);E-Scooter (Tretroller m.Elektroantr. oh. Füh.pfl.);(Farb-)Fernsehgerät;Flachbildfernseher (LCD, Plasma);DVD-Player/Recorder;DVD- und Blu-ray-Gerät;Blu-ray-Gerät;Videorecorder;Camcorder (Videokamera);Camcorder (Videokamera) analog;Camcorder (Videokamera) digital;Fotoapparat/Digitalkamera;Fotoapparat analog;Digitalkamera (Fotoapparat digital);Radiorecorder/Stereorundfunkgerät;HiFi-Anlage;MP3-Player;Satellitenempfangsanlage;Kabelanschluss;DVB-T-Gerät (Decoder);Satelliten-TV-Anschluss;Kabel-TV-Anschluss;Antennen-TV-Anschluss (DVB-T);Antennen-TV-Anschluss (DVB-T2 HD);TV über DSL/Internet (IPTV);Pay-TV-Decoder;CD-Player/CD-Recorder (auch im PC);CD-Player stationär;CD-Recorder;MiniDisc-Player/Recorder;Spielekonsole;Personalcomputer;PC stationär;PC mobil (Notebook, Laptop, Palmtop);Laptop/Notebook, Netbook;Tablet;Modem für Datenübertragung;PC-Drucker (auch in Kombigeräten);Internetanschluss, -zugang;Internetanschluss, -zugang stationär;Internetanschluss, -zugang mobil;ISDN-Anschluss;Telefon;Telefon stationär (auch schnurlos);Telefon mobil (Autotelefon, Handy);Smartphone;Anrufbeantworter stationär;Telefaxgerät stationär;Navigationssystem;Kühlschrank (auch Gefrier- und Kühlkombination);Gefrierschrank, Gefriertruhe (Einzelgeräte);Geschirrspülmaschine;Mikrowellengerät;Waschmaschine;Wäschetrockner (auch in Kombigeräten);Filterkaffeemaschine;Pad- oder Kapselmaschine;Kaffeevollautomat;Sportgeräte (Heimtrainer)
;Anzahl;1000;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent;Prozent
01.01.2000;5827;34390;74,4;36,2;-;42,8;-;.;-;10,1;-;-;77,7;-;-;95,9;-;.;-;-;65,9;18,0;.;.;.;.;.;79,5;62,9;-;31,5;54,0;-;-;-;-;-;-;-;.;.;.;.;-;47,3;45,6;5,5;-;-;14,0;-;16,4;-;-;7,7;98,2;96,4;29,8;-;41,4;14,9;-;99,2;-;48,3;56,1;94,1;31,8;-;-;-;.
01.01.2001;5850;34777;75,1;36,6;-;44,2;-;.;-;10,3;-;-;78,1;-;-;95,9;-;.;-;-;68,6;18,2;.;.;.;.;.;78,2;64,5;-;31,7;54,2;-;-;-;-;-;-;-;.;.;.;.;-;53,4;51,6;6,1;-;-;21,5;-;27,3;-;-;12,0;98,5;96,4;55,7;-;43,1;16,0;-;99,3;-;51,3;58,2;95,1;33,3;-;-;-;.
01.01.2002;5902;35009;74,1;34,9;-;44,7;-;.;-;10,9;-;-;78,1;-;-;.;-;14,1;-;-;68,9;.;16,9;4,7;.;.;.;.;71,9;-;33,2;54,3;-;-;-;-;-;-;-;.;59,0;25,9;11,2;-;57,2;54,1;7,9;-;-;.;-;36,0;-;-;14,3;.;.;69,8;-;44,4;16,2;-;.;-;52,3;58,7;.;33,3;-;-;-;21,6
01.01.2003;5860;35247;75,6;36,0;-;45,2;-;.;-;10,3;-;-;79,6;-;-;.;-;26,5;-;-;69,9;24,3;18,0;10,1;.;.;.;.;71,9;-;34,9;54,2;-;-;-;-;-;-;-;.;64,1;32,9;10,6;-;61,0;57,8;9,9;-;-;.;-;42,6;-;-;19,1;.;.;73,0;-;45,4;16,8;-;.;80,0;54,9;60,5;.;35,4;-;-;-;24,5
01.01.2004;5919;35375;75,5;35,3;-;45,3;-;2,7;-;10,6;-;-;79,7;-;-;95,0;-;36,4;-;-;69,7;19,8;15,0;6,1;79,4;75,6;19,4;.;70,2;-;36,7;54,0;-;-;-;-;-;-;-;70,0;.;.;11,9;-;63,6;58,7;13,3;-;-;.;-;47,1;-;-;20,4;98,7;95,1;72,1;-;46,1;17,2;-;.;73,9;56,7;62,3;95,5;36,8;-;-;-;26,6
01.01.2005;7858;35528;76,8;36,0;-;46,6;-;2,9;-;10,8;-;-;79,8;-;-;.;-;50,1;-;-;70,1;19,4;13,8;6,6;.;74,9;31,9;.;72,1;14,7;39,0;52,1;-;-;-;-;-;-;-;69,6;.;.;10,8;-;68,6;62,9;17,2;-;-;.;-;54,6;-;-;23,9;99,3;95,9;76,4;-;47,1;18,7;4,4;99,1;72,5;59,1;67,0;.;39,3;-;-;-;27,3
01.01.2006;7771;35555;77,0;35,9;-;46,9;-;3,0;-;11,0;-;-;81,2;-;-;95,2;5,0;59,3;-;-;69,4;19,7;13,6;7,5;84,5;73,6;41,8;.;.;22,8;40,3;51,6;-;-;-;-;-;-;-;76,9;.;.;10,5;14,4;71,6;64,5;21,3;-;-;.;-;57,9;-;-;25,1;99,4;95,2;80,6;-;48,7;18,9;7,7;98,9;72,3;61,6;68,0;.;34,5;-;-;-;28,4
