Snapshot Date,Erfasste Haushalte,Hochgerechnete Haushalte,Pkw [%],Pkw fabrikneu gekauft [%],"Pkw fabrikneu gekauft, Elektroauto, Plug-in-Hybrid [%]",Pkw gebraucht gekauft [%],"Pkw gebraucht gekauft, Elektroauto, Plug-in-Hybrid [%]",Pkw geleast [%],"Pkw geleast, Elektroauto, Plug-in-Hybrid [%]",Kraftrad [%],Kraftrad mit Führerscheinpflicht [%],"E-Roller, E-Bike mit Führerscheinpflicht [%]",Fahrrad [%],Pedelec (E-Bike ohne Führerscheinpflicht) [%],E-Scooter (Tretroller m.Elektroantr. oh. Füh.pfl.) [%],(Farb-)Fernsehgerät [%],"Flachbildfernseher (LCD, Plasma) [%]",DVD-Player/Recorder [%],DVD- und Blu-ray-Gerät [%],Blu-ray-Gerät [%],Videorecorder [%],Camcorder (Videokamera) [%],Camcorder (Videokamera) analog [%],Camcorder (Videokamera) digital [%],Fotoapparat/Digitalkamera [%],Fotoapparat analog [%],Digitalkamera (Fotoapparat digital) [%],Radiorecorder/Stereorundfunkgerät [%],HiFi-Anlage [%],MP3-Player [%],Satellitenempfangsanlage [%],Kabelanschluss [%],DVB-T-Gerät (Decoder) [%],Satelliten-TV-Anschluss [%],Kabel-TV-Anschluss [%],Antennen-TV-Anschluss (DVB-T) [%],Antennen-TV-Anschluss (DVB-T2 HD) [%],TV über DSL/Internet (IPTV) [%],Pay-TV-Decoder [%],CD-Player/CD-Recorder (auch im PC) [%],CD-Player stationär [%],CD-Recorder [%],MiniDisc-Player/Recorder [%],Spielekonsole [%],Personalcomputer [%],PC stationär [%],"PC mobil (Notebook, Laptop, Palmtop) [%]","Laptop/Notebook, Netbook [%]",Tablet [%],Modem für Datenübertragung [%],PC-Drucker (auch in Kombigeräten) [%],"Internetanschluss, -zugang [%]","Internetanschluss, -zugang stationär [%]","Internetanschluss, -zugang mobil [%]",ISDN-Anschluss [%],Telefon [%],Telefon stationär (auch schnurlos) [%],"Telefon mobil (Autotelefon, Handy) [%]",Smartphone [%],Anrufbeantworter stationär [%],Telefaxgerät stationär [%],Navigationssystem [%],Kühlschrank (auch Gefrier- und Kühlkombination) [%],"Gefrierschrank, Gefriertruhe (Einzelgeräte) [%]",Geschirrspülmaschine [%],Mikrowellengerät [%],Waschmaschine [%],Wäschetrockner (auch in Kombigeräten) [%],Filterkaffeemaschine [%],Pad- oder Kapselmaschine [%],Kaffeevollautomat [%],Sportgeräte (Heimtrainer) [%]
2000-01-01,5827,34390000,74.4,36.2,,42.8,,,,10.1,,,77.7,,,95.9,,,,,65.9,18,,,,,,79.5,62.9,,31.5,54,,,,,,,,,,,,,47.3,45.6,5.5,,,14,,16.4,,,7.7,98.2,96.4,29.8,,41.4,14.9,,99.2,,48.3,56.1,94.1,31.8,,,,
2001-01-01,5850,34777000,75.1,36.6,,44.2,,,,10.3,,,78.1,,,95.9,,,,,68.6,18.2,,,,,,78.2,64.5,,31.7,54.2,,,,,,,,,,,,,53.4,51.6,6.1,,,21.5,,27.3,,,12,98.5,96.4,55.7,,43.1,16,,99.3,,51.3,58.2,95.1,33.3,,,,
2002-01-01,5902,35009000,74.1,34.9,,44.7,,,,10.9,,,78.1,,,,,14.1,,,68.9,,16.9,4.7,,,,,71.9,,33.2,54.3,,,,,,,,,59,25.9,11.2,,57.2,54.1,7.9,,,,,36,,,14.3,,,69.8,,44.4,16.2,,,,52.3,58.7,,33.3,,,,21.6
2003-01-01,5860,35247000,75.6,36,,45.2,,,,10.3,,,79.6,,,,,26.5,,,69.9,24.3,18,10.1,,,,,71.9,,34.9,54.2,,,,,,,,,64.1,32.9,10.6,,61,57.8,9.9,,,,,42.6,,,19.1,,,73,,45.4,16.8,,,80,54.9,60.5,,35.4,,,,24.5
2004-01-01,5919,35375000,75.5,35.3,,45.3,,2.7,,10.6,,,79.7,,,95,,36.4,,,69.7,19.8,15,6.1,79.4,75.6,19.4,,70.2,,36.7,54,,,,,,,,70,,,11.9,,63.6,58.7,13.3,,,,,47.1,,,20.4,98.7,95.1,72.1,,46.1,17.2,,,73.9,56.7,62.3,95.5,36.8,,,,26.6
2005-01-01,7858,35528000,76.8,36,,46.6,,2.9,,10.8,,,79.8,,,,,50.1,,,70.1,19.4,13.8,6.6,,74.9,31.9,,72.1,14.7,39,52.1,,,,,,,,69.6,,,10.8,,68.6,62.9,17.2,,,,,54.6,,,23.9,99.3,95.9,76.4,,47.1,18.7,4.4,99.1,72.5,59.1,67,,39.3,,,,27.3
2006-01-01,7771,35555000,77,35.9,,46.9,,3,,11,,,81.2,,,95.2,5,59.3,,,69.4,19.7,13.6,7.5,84.5,73.6,41.8,,,22.8,40.3,51.6,,,,,,,,76.9,,,10.5,14.4,71.6,64.5,21.3,,,,,57.9,,,25.1,99.4,95.2,80.6,,48.7,18.9,7.7,98.9,72.3,61.6,68,,34.5,,,,28.4
2007-01-01,7828,35887000,76.7,36,,46.3,,2.7,,11.1,,,80.1,,,95.9,9.3,62.9,,,,20,12.7,8.6,84.9,70,48.7,,,29,39.1,50,11.9,,,,,,4.4,78.2,,,,14.9,72.8,63.8,25.1,,,,,60,,,26,99.4,95.4,81.8,,48.8,18.6,12.3,99.4,73.6,62.4,68.7,,40,,,,28.9
2009-01-01,7947,36462000,76.7,34.2,,47.3,,3.8,,10.6,,,80.5,,,95.9,25.8,71.6,,,,20.4,11.1,10.9,87.7,60,64.1,,,39.8,39.9,48.5,19.9,,,,,,5.3,81.5,,,,20.3,78.8,62.9,40,,,,,68.9,,,32.1,99.5,91.5,86.7,,52,19.2,27,98.7,54.1,64.8,71.9,,38.6,,,,30.1
2010-01-01,7835,36521000,77.6,36.8,,46,,3.5,,10.5,,,80.7,,,96.2,36.7,70.8,,,,20,10.5,11.4,87.1,54.6,67.7,,,41.2,41,48,21.4,,,,,,4.7,79.8,,,,22.5,80.8,63.1,45.5,,,,,72.9,,,,99.4,91.6,88.9,,,20.1,33.2,97.8,54,65.7,72.9,,39.9,,,,29.7
